id,label,unit,description,year,value,color,opacity,stroke,source,source_question_code,source_url,source_main_value,source_low_ci,source_high_ci,transform
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2005,71.5,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,28.5,27.2,29.7,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2007,71.5,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,28.5,27.1,29.8,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2009,73.9,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,26.1,24.8,27.5,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2011,71.5,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,28.5,27.2,29.7,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2013,70.1,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,29.9,28.3,31.6,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2015,70.1,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,29.9,28.0,31.8,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2017,68.5,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,31.5,29.6,33.4,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2019,63.3,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,36.7,35.1,38.3,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2021,57.7,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,42.3,41.0,43.7,inverse
mental_health,Mental,%,CDC YRBS Explorer: high school students who did not feel sad or hopeless for 2+ weeks during the past 12 months (100 - H26).,2022,59.0,#ff6f79,0.2,#ff6f79,CDC YRBS Explorer national high school chart data,H26,https://yrbs-explorer.services.cdc.gov/api/ChartData?QuestionId=H26&LocationId=XX&Yr=9999,41.0,,,inverse_interpolated_2022
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2000,2.992,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,2.992,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2002,3.418,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,3.418,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2004,3.0,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,3.0,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2006,3.041,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,3.041,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2008,3.246,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,3.246,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2010,2.904,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,2.904,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2012,3.148,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,3.148,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2014,2.938,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,2.938,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2016,2.89,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,2.89,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2018,2.43,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,2.43,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2021,1.808,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,1.808,,,weighted_gss
friend_evenings,Friends,x/mo,"GSS: social evenings with friends outside the neighborhood, converted to monthly-equivalent frequency.",2022,2.711,#56B4E9,0.2,#56B4E9,GSS 1972-2024 cumulative release R3,SOCFREND,https://gssdataexplorer.norc.org/variables/socfrend/vshow,2.711,,,weighted_gss
